year	month	day	symbol	nav
2004	10	24	SPK00	0.68386
2004	10	25	SPK00	0.68386
2004	10	26	SPK00	0.68386
2004	10	27	SPK00	0.68386
2004	10	28	SPK00	0.68322
2004	10	29	SPK00	0.68322
2004	10	30	SPK00	0.68322
2004	10	31	SPK00	0.68322
2004	11	1	SPK00	0.68322
2004	11	2	SPK00	0.68322
2004	11	3	SPK00	0.68322
2004	11	4	SPK00	0.68386
2004	11	5	SPK00	0.68322
2004	11	6	SPK00	0.68386
2004	11	7	SPK00	0.68386
2004	11	8	SPK00	0.68386
2004	11	9	SPK00	0.68449
2004	11	10	SPK00	0.68449
2004	11	11	SPK00	0.68513
2004	11	12	SPK00	0.68513
2004	11	13	SPK00	0.68513
2004	11	14	SPK00	0.68513
2004	11	15	SPK00	0.68577
2004	11	16	SPK00	0.68577
2004	11	17	SPK00	0.68577
2004	11	18	SPK00	0.68577
2004	11	19	SPK00	0.68577
2004	11	20	SPK00	0.68577
2004	11	21	SPK00	0.68577
2004	11	22	SPK00	0.68577
2004	11	23	SPK00	0.68577
2004	11	24	SPK00	0.68641
2004	11	25	SPK00	0.68641
2004	11	26	SPK00	0.68641
2004	11	27	SPK00	0.68641
2004	11	28	SPK00	0.68641
2004	11	29	SPK00	0.68641
2004	11	30	SPK00	0.68641
2004	12	1	SPK00	0.68705
2004	12	2	SPK00	0.68641
2004	12	3	SPK00	0.68705
2004	12	4	SPK00	0.68641
2004	12	5	SPK00	0.68641
2004	12	6	SPK00	0.68705
2004	12	7	SPK00	0.68769
2004	12	8	SPK00	0.68769
2004	12	9	SPK00	0.68833
2004	12	10	SPK00	0.68833
2004	12	11	SPK00	0.68833
2004	12	12	SPK00	0.68833
2004	12	13	SPK00	0.68833
2004	12	14	SPK00	0.68833
2004	12	15	SPK00	0.68897
2004	12	16	SPK00	0.68897
2004	12	17	SPK00	0.68769
2004	12	19	SPK00	0.68897
2004	12	20	SPK00	0.68833
2004	12	21	SPK00	0.68769
2004	12	22	SPK00	0.68769
2004	12	23	SPK00	0.68769
2004	12	24	SPK00	0.68833
2004	12	25	SPK00	0.68769
2004	12	26	SPK00	0.68769
2004	12	27	SPK00	0.68833
2004	12	28	SPK00	0.68833
2004	12	29	SPK00	0.68769
2004	12	30	SPK00	0.68769
2004	12	31	SPK00	0.68769
2005	1	1	SPK00	0.68769
2005	1	2	SPK00	0.68769
2005	1	3	SPK00	0.68769
2005	1	4	SPK00	0.68769
2005	1	5	SPK00	0.68769
2005	1	6	SPK00	0.68833
2005	1	7	SPK00	0.68833
2005	1	8	SPK00	0.68833
2005	1	9	SPK00	0.68833
2005	1	10	SPK00	0.68897
2005	1	11	SPK00	0.68897
2005	1	12	SPK00	0.68897
2005	1	13	SPK00	0.68897
2005	1	14	SPK00	0.68897
2005	1	15	SPK00	0.68897
2005	1	16	SPK00	0.68897
2005	1	17	SPK00	0.68961
2005	1	18	SPK00	0.68961
2005	1	19	SPK00	0.68961
2005	1	20	SPK00	0.68961
2005	1	21	SPK00	0.68961
2005	1	22	SPK00	0.68961
2005	1	23	SPK00	0.68961
2005	1	24	SPK00	0.68961
2005	1	25	SPK00	0.69025
2005	1	26	SPK00	0.68961
2005	1	27	SPK00	0.68897
2005	1	28	SPK00	0.69025
2005	1	29	SPK00	0.68897
2005	1	30	SPK00	0.68897
2005	1	31	SPK00	0.69025
2005	2	1	SPK00	0.69025
2005	2	2	SPK00	0.69025
2005	2	3	SPK00	0.69025
2005	2	4	SPK00	0.69025
2005	2	5	SPK00	0.69025
2005	2	6	SPK00	0.69025
2005	2	7	SPK00	0.69025
2005	2	8	SPK00	0.69089
2005	2	9	SPK00	0.69089
2005	2	10	SPK00	0.69152
2005	2	11	SPK00	0.69152
2005	2	12	SPK00	0.69152
2005	2	13	SPK00	0.69152
2005	2	14	SPK00	0.69152
2005	2	15	SPK00	0.69089
2005	2	16	SPK00	0.69152
2005	2	17	SPK00	0.69025
2005	2	18	SPK00	0.69025
2005	2	19	SPK00	0.69025
2005	2	20	SPK00	0.69025
2005	2	21	SPK00	0.68961
