day	month	year	symbol	nav
24	4	2013	SPK00	0.88755
25	4	2013	SPK00	0.88801
26	4	2013	SPK00	0.88848
27	4	2013	SPK00	0.88801
28	4	2013	SPK00	0.88801
29	4	2013	SPK00	0.88882
30	4	2013	SPK00	0.88914
01	5	2013	SPK00	0.88882
02	5	2013	SPK00	0.8901
03	5	2013	SPK00	0.89057
04	5	2013	SPK00	0.8901
05	5	2013	SPK00	0.8901
06	5	2013	SPK00	0.89016
07	5	2013	SPK00	0.89024
08	5	2013	SPK00	0.89054
09	5	2013	SPK00	0.89095
10	5	2013	SPK00	0.89033
11	5	2013	SPK00	0.89095
12	5	2013	SPK00	0.89095
13	5	2013	SPK00	0.89009
14	5	2013	SPK00	0.89009
15	5	2013	SPK00	0.89
16	5	2013	SPK00	0.89046
17	5	2013	SPK00	0.891
18	5	2013	SPK00	0.89046
19	5	2013	SPK00	0.89046
20	5	2013	SPK00	0.89055
21	5	2013	SPK00	0.88995
22	5	2013	SPK00	0.89039
23	5	2013	SPK00	0.88968
24	5	2013	SPK00	0.88933
25	5	2013	SPK00	0.88968
26	5	2013	SPK00	0.88968
27	5	2013	SPK00	0.88895
28	5	2013	SPK00	0.88846
29	5	2013	SPK00	0.88738
30	5	2013	SPK00	0.8868
31	5	2013	SPK00	0.88705
01	6	2013	SPK00	0.8868
02	6	2013	SPK00	0.8868
03	6	2013	SPK00	0.88617
04	6	2013	SPK00	0.8863
05	6	2013	SPK00	0.88597
06	6	2013	SPK00	0.88491
07	6	2013	SPK00	0.8849
08	6	2013	SPK00	0.88491
09	6	2013	SPK00	0.88491
10	6	2013	SPK00	0.88408
11	6	2013	SPK00	0.88255
12	6	2013	SPK00	0.88281
13	6	2013	SPK00	0.88306
14	6	2013	SPK00	0.88416
15	6	2013	SPK00	0.88306
16	6	2013	SPK00	0.88306
17	6	2013	SPK00	0.88407
18	6	2013	SPK00	0.88322
19	6	2013	SPK00	0.88347
20	6	2013	SPK00	0.88006
21	6	2013	SPK00	0.87815
22	6	2013	SPK00	0.88006
23	6	2013	SPK00	0.88006
24	6	2013	SPK00	0.88006
25	6	2013	SPK00	0.87732
26	6	2013	SPK00	0.87817
27	6	2013	SPK00	0.87917
28	6	2013	SPK00	0.87945
29	6	2013	SPK00	0.87917
30	6	2013	SPK00	0.87917
01	7	2013	SPK00	0.87946
02	7	2013	SPK00	0.87989
03	7	2013	SPK00	0.87986
04	7	2013	SPK00	0.88051
05	7	2013	SPK00	0.88031
06	7	2013	SPK00	0.88051
07	7	2013	SPK00	0.88051
